5	.²4 A degree of latitude (or longitude); अक्षस्यांशाः समाख्याताः षष्ट्युत्तरशतत्रयम्; स च अंशः षष्टिकलात्मकः, कला तु षष्टिविकलात्मिका.
5	.²5 The shoulder (more correctly written as अंस, q. v.).
5	.²6 N. of one of the Ādityas; Mb. 1. 227. 25; cf. also the beginning of T. Ār. The senses of ‘party’, ‘a share of booty’, ‘earnest money’, which are said to occur in the Veda are traceable to 1 above.
5	.²7 The vital note in a Rāga.
6	[ष˚ त˚]
6	a secondary incarnation; part of a portion.
7	{%adv.%}
7	share by share.
8	[ष˚ त˚]
8	descent (on earth) of parts of deities, partial incarnation; ˚तार इव धर्मस्य Dk. 153; ˚रमिव कृतान्तस्य K. 31;
9	79; so अंशावतीर्णमिव 108; N. of a sub-parvan covering Adhyāyas 64-67 of Ādiparvan of Mb. Even without the compound अंश means partial incarnation. अंश, आवेश, and अवतार are the three kinds of Lordʼs manifestations.
10	(= नवांशकुण्डली) the horoscope prepared by taking into consideration the nine zodiacal divisions. (¹⁄₁₀₈th of a राशि = नवांश or नवमांश).
11	{%a.%}
11	[उप˚ समास]
11	one who takes or has a share, one entitled to a share in the ancestral property, an heir, a co-heir; पिण्डदोंऽशहरश्चैषां पूर्वाभावे परः परः Y. 2. 132; जातोऽपि दास्यां शूद्रेण कामतोंऽशहरो भवेत् 133.
12	{%a.%}
12	[स˚ त˚]
12	slightly turned away, or turned away towards the shoulder; मुखसंशविवर्ति पक्ष्मलाक्ष्याः Ś. 3. 24. v. l. for अंसविवर्ति.
13	[ष˚ त˚]
13	reduction of fractions to the same denominator (अतुल्यच्छेदयो राश्योः समच्छेदकरणम्) अन्योन्यहाराभिहतौ हरांशौ राश्योः समच्छेदविधानमेवम् Līlā.
14	the keynote.
15	[अंश्-ण्वुल्; अंशिका {%f.%}]
15	.²1 One having a share, a co-parcener, relative.
15	.²2 (स्वार्थे कन्) A share, portion, division; त्रिंशांशकस्तथा राशेर्भाग इत्यभिधीयते; द्विभर्तृका मेषनवांशके स्यात्, वृषांशके सा पशुशीलयुक्ता.
16	A solar day.
17	[अंश्-तव्यच्]
17	{%a.%}
17	Fit to be divided into parts.
18	{%a.%}
18	[अंशं लाति, ला-क]
18	.²1 Having, or entitled to a share (अंशग्राहक).
18	.²2 अंसल, q. v.
19	[अंश्-ल्युट्]
19	Act of dividing.
20	{%m.%}
20	(अंश्-तृच्)
20	A divider, sharer.
21	{%m.%}
21	[अंश-इनि]
21	.²1 A sharer, co-parcener; (पुनर्विभागकरणे) सर्वे वा स्युः समांशिनः Y. 2. 114 (entitled to the same share.)
21	.²2 Having parts or members (अवयविन्); अंशिनः स्वांशगात्यन्ताभावं प्रति मृषात्मतां --Ved. Paribhāṣā.
22	{%a.%}
22	[अंश्-कर्मणि यत्]
22	Divisible.
23	[अंश्-मृग˚ कु.]
23	.²1 A ray, beam of light; चण्ड˚, घर्म˚ hot-rayed, the sun; सूर्याशुभिर्भिन्नमिवाराविन्दम् Ku. 1. 32; lustre, brilliance चण्डांशुकिरणाभाश्च हाराः Rām. 5. 9. 48; Śi. 1. 9. रत्न˚, नख˚ &c.
23	.²2 A point or end.
23	.²3 A small or minute particle.
23	.²4 End of a thread.
23	.²5 A filament, especially of the Soma plant (Ved.)
23	.²6 Garment; decoration.
23	.²7 N. of a sage or of a prince.
23	.²8 Speed, velocity (वेग).
23	.²9 Fine thread
24	dew-water.
25	a collection of rays, a blaze or halo of light.
26	the sun, (bearer or lord of rays).
27	a kind of silken cloth (अंशुना सूक्ष्मसूत्रेणयुक्तं पट्टम्); सश्रीफलैरंशुपट्टम् Y. 1. 186; श्रीफलैरंशुपट्टानां Ms. 5. 120.
28	a garland of light, halo.
29	{%m.%}
29	[अंशवो मालेव, ततः अस्त्यर्थे इनि]
29	.²1 the sun (wreathed with, surrounded by, rays).
29	.²2 the number twelve.
30	[अंशुः हस्त इव यस्य]
30	the sun (who draws up water from the earth by means of his 1000 hands in the form of rays).
31	{%a.%}
31	[अंशु-अस्त्यर्थे मतुप्]
31	.²1 Luminous, radiant; ज्योतिषां रविरंशुमान् Bg. 10. 21.
31	.²2 Pointed.
31	.²3 Fibrous, abounding in filaments (Ved.) {%m.%} (˚मान्)
31	.²1 The sun; वालखिल्यैरिवांशुमान् R. 15. 10; अंशुमानिव तन्वभ्रपटलच्छन्नविग्रहः Ki. 11. 6; जलाधारोष्विवांशुमान् Y. 3. 144; rarely the moon also; ततः स मध्यंगतमंशुमन्तं Rām. 5. 5. 1.
31	.²2 N. of the grandson of Sagara, son of Asamañjasa and father of Dilīpa.
31	.²3 N. of a mountain; ˚मत्फला N. of a plant, कदली Musa sapientum or Paradisiaca.
32	.²1 N. of a plant सालपणीं (Mar. डवला, सालवण) Desmodium Gangeticum.
32	.²2 N. of the river Yamunā.
33	[अंशवः सूत्राणि विषयो यस्य; अंशु ऋश्यादि˚ क]
33	.²1 A cloth, garment in general; सितांशुका मङ्गलमात्रभूषणा V. 3. 12; यत्रांशुकाक्षेपविलज्जितानां Ku. 1. 14; चीनांशुकमिव केतोः Ś. 1. 33; स्तन˚ a breast-cloth.
33	.²2 A fine or white cloth; धुन्वन् कल्पद्रुमकिसलयान्यंशुकानीव वातैः Me. 64; usually silken or muslin.
33	.²3 An upper garment; a mantle.
33	.²4 An under garment; कररुद्धनीविगलदंशुकाः स्त्रियः Śi. 13. 31.
33	.²5 A leaf.
33	.²6 Mild or gentle blaze of light (नातिदीप्ति) (कः also; स्वार्थे कन्.)
33	.²7 The string of a churning stick. cf. अंशुकं नेत्रवस्त्रयोः . cf. also अंशुकं सूक्ष्मवस्त्रे स्यात् परिधानोत्तरीययोः . किरणानां समूहे च मुखवस्त्रे तदिष्यते .. Nm.
34	{%a.%}
34	Radiant, luminous.
35	[अंशुं प्रभां बुद्धिप्रातिभां लाति, or अंशुरस्य अस्तीति ला-क]
35	N. of Chāṇakya; of any sage.
36	अंसयति अंसापयति
36	See अंश्.
37	[अंस् कर्मभावादौ अच्]
37	.²1 A part, portion; see अंशः.
37	.²2 The shoulder, shoulder-blade; यदयं रथसंक्षोभादंसेनांसो रथोपमश्रोण्याः V. 1. 13.
37	.²3 N. of a prince. .({@-सौ@}) The two angles of an altar [cf. Goth. {%amsa%}; L. {%ansa%}, {%humerus%}; Gr. {%omor%}.]
38	[अंसः कूट इव वृहत्त्वात्]
38	a bullʼs hump, the protuberance between the shoulders; राजन्योच्चांसकूटक्रथनपटुरटद्घोरधारः कुठारः Prab. 1. 7.
39	[उप˚ स˚]
39	.²1 an armour to protect the shoulders.
39	.²2 a bow.
40	the upper part of the spine.
41	(अंसे˚)
41	[अंसे धृतो भारः शाक˚ त˚ वा अलुक्]
41	a burden or yoke put upon the shoulder.
42	, -भारिन् {%a.%} (अंसे˚) [भस्त्रादिगण, अंस(से)भारेण हरति; ष्ठन्] bearing a yoke or burden on the shoulder.
43	{%a.%}
43	[उप˚ स˚]
43	turned towards the shoulders; मुखमंसविवर्ति पक्ष्मलाक्ष्याः Ś. 3. 24.
44	{%a.%}
44	[अंस लच्, बलवति इत्यर्थे; P. V. 2. 98]
44	Strong, lusty, powerful, having strong shoulders; युवा युगव्यायतबाहुरंसलः R. 3. 34; भुजेन रक्षापरिघेण भूमेरुपैतु योगं पुनरंसलेन 16. 84; ˚पुरुषप्रयत्नदुश्चलं Dk. 169.
45	{%a.%}
45	[अंसे भवः अंस-यत्.]
45	Belonging to the shoulder; ये अंस्या ये अङ्ग्याः सूचीकाः Rv. 1. 191. 7.
46	€1
46	Ā.
46	अंहते, अंहितुं To go; approach; set out; Bk. 3. 25, 46, आनंहे चान्तिकं पितुः 14. 51, 4. 4 &c.
47	.²1 To send; तमाञ्जिहन्मैथिलयज्ञभूमिं Bk. 2. 40, 15. 75.
47	.²2 To shine.
47	.²3 To speak.
48	{%a.%}
48	[अंह्-मद्गुरादि उरच्]
48	Moving (गतियुक्त); तासामेकामिदभ्यंहुरो गात् Rv. 10. 5. 6; distressed, straitened.
49	{%a.%}
49	(Ved.) distressing, troublesome; sinful; straitened; Rv. 6. 47. 20.
50	A sin, distress; Rv. 1. 105. 7.
51	{%a.%}
51	Troublesome, threatening; Rv. 5. 15 3.
52	{%f.%}
52	[हन्-अति, अंहादेशश्च; हन्तेरतिः स्यादंहादेशश्च धातोः Uṇ. 4. 62; हन्ति दुरितमनया इति दानम्]
52	.²1 A gift.
52	.²2 Anxiety, trouble, care, distress, illness (Ved.); Rv. 1. 94. 2, 8. 75. 9.
53	{%n.%}
53	अंहः, ˚हसी
53	&c. [अम् असुन् हुक् च Uṇ. 4. 212, अमति गच्छति प्रायाश्चित्तेन]
53	.²1 A sin; सहसा संहतिमंहसां विहन्तुम् … अलं Ki. 5. 17; कृतः कृतार्थोऽस्मि निबर्हितांहसा Śi. 1. 29; leaving oneʼs religion or duty (स्वधर्मत्याग); लोभोऽनृतं चौर्यमनार्यमंहः Bhāg. 1. 17. 32.
53	.²2 Trouble, anxiety, care; युयोतन नो अंहसः Rv. 8. 18. 10 [{%cf.%} अघ, आगस्; Gr. {%akhos%}.]. ˚मुच् {%a.%} freeing from distress; अंहोमुचे प्रभरे Yv.
54	(Ved.) The intercalary month (Lord of distress or perplexity ?). Vāj.
55	{%a.%}
55	Sinful.
56	{%f.%}
56	[अंह् क्तिन् ग्रहादित्वात् इट् Tv.]
56	A gift.
57	{%a.%}
57	[अंह् मृग˚ कु]
57	(Ved.) Sinful, wicked, injurious (पापकारिन्, हननशील); strait, narrow (?).
58	{%n.%}
58	.²1 Anxiety, distress; sin, crime (?).
58	.²2 Pudendum Muliebre (?). [cf. L. {%angustus, anxius%}, Goth. {%aggvus%}].
59	having a narrow slit; having the pudendum divided (?).
60	[अंह् वंक्रपादि क्रिन्, अंहते गच्छत्यनेन]
60	.²1 A foot.
60	.²2 The root of a tree, cf. अङ्घ्रि.
60	.²3 The number four.
61	‘foot-drinker’, a tree (मूलेन पिबति सिक्ततोयम्).
62	[अंह्रेः स्कन्ध इव]
62	the upper part of the sole of the foot.
63	€1
63	P.
63	(अकति)
63	To go, move tortuously like a serpent [cf. L. {%angulus%}, Gr. {%agkai%}].
64	{%a.%}
64	Moving tortuously.
65	[न कं सुखम्]
65	Absence of happiness; pain, misery (as in नाकं, न अकं दुःखं यत्र), sin नास्ति कं सुखं यस्मात्.
66	{%a.%}
66	[न˚ ब˚]
66	Bald.
67	N. of Ketu (the descending node), who is represented as a headless trunk. Tv. explains it thus: अकाय दुःखाय चायते; चाय्-ड; केतुग्रहस्य उदयेन लोकोपप्लवस्य शास्त्रप्रसिद्धिः.
68	N. of a mystical circle (चक्र) or diagram with the letters of the alphabet, such as अ, क, ड, म; अ, क, थ, ह &c. written therein and used in determining the auspicious or inauspicious stars of a person; (ग्राह्यगोपालमन्त्रस्य तन्त्रोक्तमन्त्रग्रहणार्थं तत्तन्मन्त्राणां शुभाशुभविचारोपयोगी चक्रभेदः Tv.) (Mar. अवकहडाचक्र given in पञ्चाङ्ग).
69	{%a.%}
69	Not fit to be mentioned.
70	{%a.%}
70	‘Not told’, not otherwise mentioned by way of any of the other case-relations, such as अपादान &c.; a name given to the indirect (गौण) object governed by verbs like दुह्, याच् &c. cf. अनभिहितम् अकथितं कर्म and ‘अकथितं च’ P. I. 4. 51. In the sentence ‘गां पयः दोग्धि’ गाम् is the indirect (गौण) object, and it could have taken the ablative ending.
71	{%a.%}
71	Not fit to be mentioned.
72	{%a.%}
72	Not the youngest (such as eldest, middle); elder, superior.
73	N. of Buddha Gautama; of a deified Buddhist saint (pl. in this latter sense.) cf. बहूनि शतसहस्राणि यावदकनिष्ठानां संनिपतितान्यभूवन् . Lv.
74	({@-गः@} also) [अकनिष्ठान् बुद्धान् पातीति; पा-क.] N. of Buddha, lord of Buddhists.
75	[न˚ त˚]
75	No virgin, a maid who is not so any longer; अकन्येति तु यः कन्यां ब्रूयाद् द्वेषेण मानवः Ms. 8. 225.
76	{%a.%}
76	[न˚ त˚]
76	Not shaking.
77	N. of a Rāksasa; Rām.
78	{%a.%}
78	[न˚ त˚]
78	Unshaken, firm, resolute; not tremulous; असंदिग्धान् स्वरान् ब्रूयादविकृष्टानकम्पितान् . Rv. Pr.
