78	L_ 40 / B_ {#akara#} / M_ {#--rA#}	akarA
79	L_ 41 / B_ {#akaraRaM#}	akaraRaM
80	L_ 41 / B_ {#akaraRaM#} / M_ {#--Ra#}	akaraRa
81	L_ 42 / B_ {#akaraRiH#}	akaraRiH
82	L_ 43 / B_ {#akarRa#}	akarRa
83	L_ 43 / B_ {#akarRa#} / M_ {#--rRaH#}	akarRaH
84	L_ 44 / B_ {#akarRya#}	akarRya
85	L_ 45 / B_ {#akartana#}	akartana
86	L_ 46 / B_ {#akartf#}	akartf
87	L_ 47 / B_ {#akarman#}	akarman
88	L_ 47 / B_ {#akarman#} / M_ {%--<ab>n.</ab>%}	akarman
89	L_ 47 / B_ {#akarman#} / S_ {#--anvita#}	akarmAnvita
90	L_ 47 / B_ {#akarman#} / S_ {#--kft#}	akarmakft
91	L_ 47 / B_ {#akarman#} / S_ {#--BogaH#}	akarmaBogaH
92	L_ 47 / B_ {#akarman#} / S_ {#--SIla#}	akarmaSIla
93	L_ 48 / B_ {#akarmaka#}	akarmaka
94	L_ 49 / B_ {#akarmaRya#}	akarmaRya
95	L_ 50 / B_ {#akala#}	akala
96	L_ 51 / B_ {#akalka#}	akalka
97	L_ 51 / B_ {#akalka#} / M_ {#--lkA#}	akalkA
98	L_ 52 / B_ {#akalkatA#}	akalkatA
99	L_ 53 / B_ {#akalkana --ka#}	akalka,akalkana
100	L_ 54 / B_ {#akalpa#}	akalpa
101	L_ 55 / B_ {#akalpita#}	akalpita
102	L_ 56 / B_ {#akalya#}	akalya
103	L_ 57 / B_ {#akalyARa#}	akalyARa
104	L_ 57 / B_ {#akalyARa#} / M_ {#--RaM#}	akalyARaM
105	L_ 58 / B_ {#akava --vA#}	akavA,akava
106	L_ 59 / B_ {#akavi#}	akavi
107	L_ 60 / B_ {#akasmAt#}	akasmAt
108	L_ 61 / B_ {#akAMqa#}	akAMqa
109	L_ 61 / B_ {#akAMqa#} / S_ {#--jAta#}	akAMqajAta
110	L_ 61 / B_ {#akAMqa#} / S_ {#--pAtaH#}	akAMqapAtaH
111	L_ 61 / B_ {#akAMqa#} / S_ {#--pAtajAta#}	akAMqapAtajAta
112	L_ 61 / B_ {#akAMqa#} / S_ {#--SUlaM#}	akAMqaSUlaM
113	L_ 62 / B_ {#akAMqe#}	akAMqe
114	L_ 63 / B_ {#akAma#}	akAma
115	L_ 63 / B_ {#akAma#} / S_ {#--karSana#}	akAmakarSana
116	L_ 63 / B_ {#akAma#} / S_ {#--hata#}	akAmahata
117	L_ 64 / B_ {#akAmataH#}	akAmataH
118	L_ 65 / B_ {#akAmatA#}	akAmatA
119	L_ 66 / B_ {#akAya#}	akAya
120	L_ 67 / B_ {#akAra#}	akAra
121	L_ 67 / B_ {#akAra#} / M_ {#--raH#}	akAraH
122	L_ 68 / B_ {#akAraRa#}	akAraRa
123	L_ 68 / B_ {#akAraRa#} / M_ {#--RaM#}	akAraRaM
